UserId;RoleId;Surname;Name;Patronymic;Login;Password
1;1;Карпов ;Улеб Леонидович;Улеб Леонидович;loginDEcph2018;7YpE0p
2;1;Беляева ;Анна Вячеславовна;Анна Вячеславовна;loginDEjbz2018;xIAWNI
3;1;Савельев ;Арсений Авксентьевич;Арсений Авксентьевич;loginDEpnb2018;{ADBdc
4;1;Ефимов ;Руслан Якунович;Руслан Якунович;loginDEzer2018;5&R+zs
5;1;Галкина ;Тамара Авксентьевна;Тамара Авксентьевна;loginDEdvk2018;NKNkup
6;1;Савина ;Таисия Глебовна;Таисия Глебовна;loginDEima2018;XK3sOA
7;1;Константинов ;Пётр Кондратович;Пётр Кондратович;loginDEyvi2018;22beR}
8;1;Панфилова ;Василиса Григорьевна;Василиса Григорьевна;loginDEikb2018;*QkUxc
9;1;Андреев ;Ростислав Федосеевич;Ростислав Федосеевич;loginDEtlo2018;58Jxrg
10;1;Бобров ;Агафон Владимирович;Агафон Владимирович;loginDEsnd2018;lLHqZf
11;1;Лапин ;Алексей Витальевич;Алексей Витальевич;loginDEgno2018;4fqLiO
12;1;Лапин ;Вячеслав Геласьевич;Вячеслав Геласьевич;loginDEdat2018;ussd8Q
13;2;Константинова ;Вероника Агафоновна;Вероника Агафоновна;loginDEsgg2018;qhgYnW
14;2;Казаков ;Федот Кондратович;Федот Кондратович;loginDEisg2018;Cp8ddU
15;2;Беляев ;Валентин Артёмович;Валентин Артёмович;loginDEmgu2018;0gC3bk
16;2;Семёнов ;Герман Дмитрьевич;Герман Дмитрьевич;loginDErdg2018;ni0ue0
17;2;Медведев ;Ириней Геннадьевич;Ириней Геннадьевич;loginDEjis2018;A9K++2
18;2;Суханова ;Евгения Улебовна;Евгения Улебовна;loginDExvv2018;R1zh}|
19;2;Игнатьев ;Владлен Дамирович;Владлен Дамирович;loginDEadl2018;F&IWf4
20;2;Журавлёва ;Вера Арсеньевна;Вера Арсеньевна;loginDEtld2018;c+CECK
21;2;Лыткин ;Ким Алексеевич;Ким Алексеевич;loginDEwqc2018;vRtAP*
22;2;Логинов ;Федот Святославович;Федот Святославович;loginDEgtt2018;7YD|BR
23;2;Русакова ;Марина Юлиановна;Марина Юлиановна;loginDEiwl2018;LhlmIl
24;2;Жуков ;Юлиан Валерьянович;Юлиан Валерьянович;loginDEsyh2018;&4jYGs
25;2;Зиновьева ;Мария Лаврентьевна;Мария Лаврентьевна;loginDEdjm2018;KjI1JR
26;2;Коновалова ;Агафья Митрофановна;Агафья Митрофановна;loginDEisp2018;dfz5Ii
27;2;Исаев ;Дмитрий Аристархович;Дмитрий Аристархович;loginDEfrp2018;6dcR|9
28;3;Меркушев ;Мартын Федотович;Мартын Федотович;loginDEdcd2018;LxR6YI
29;3;Королёв ;Матвей Вадимович;Матвей Вадимович;loginDEgco2018;nMr|ss
30;3;Юдин ;Герман Кондратович;Герман Кондратович;loginDEwjg2018;9UfqWQ
31;3;Шестаков ;Илья Антонинович;Илья Антонинович;loginDEjtv2018;f2ZaN6
32;3;Власов ;Вадим Васильевич;Вадим Васильевич;loginDEtfj2018;{{ksPn
33;3;Бурова ;Марфа Федотовна;Марфа Федотовна;loginDEiin2018;y9l*b}
34;3;Селезнёв ;Александр Никитевич;Александр Никитевич;loginDEqda2018;|h+r}I
35;3;Кулакова ;Виктория Георгьевна;Виктория Георгьевна;loginDEbnj2018;#ИМЯ?
36;3;Дорофеева ;Кира Демьяновна;Кира Демьяновна;loginDEqte2018;dC8bDI
37;3;Сафонова ;Нинель Якововна;Нинель Якововна;loginDEfeo2018;8cI7vq
38;3;Ситникова ;София Лукьевна;София Лукьевна;loginDEvni2018;e4pVIv
39;3;Ефремов ;Христофор Владиславович;Христофор Владиславович;loginDEyzn2018;P1v24R
40;3;Кошелев ;Ростислав Куприянович;Ростислав Куприянович;loginDEphn2018;F}jGsJ
41;3;Иванов ;Яков Мэлорович;Яков Мэлорович;loginDEyfe2018;4Bbzpa
42;3;Поляков ;Анатолий Игоревич;Анатолий Игоревич;loginDEtfz2018;uQY0ZQ
43;3;Воробьёв ;Герман Романович;Герман Романович;loginDEdmi2018;HOGFbU
44;3;Шестаков ;Авдей Иванович;Авдей Иванович;loginDEgnl2018;wdio{u
45;3;Гаврилова ;Алина Эдуардовна;Алина Эдуардовна;loginDEzna2018;yz1iMB
46;3;Пономарёв ;Максим Альвианович;Максим Альвианович;loginDExex2018;rnh36{
47;3;Осипов ;Артём Мэлорович;Артём Мэлорович;loginDEgup2018;36|KhF
48;3;Зуев ;Ириней Вадимович;Ириней Вадимович;loginDEffj2018;cJP+HC
49;3;Белозёрова ;Алевтина Лаврентьевна;Алевтина Лаврентьевна;loginDEaee2018;5&qONH
50;3;Самсонов ;Агафон Максимович;Агафон Максимович;loginDEthu2018;|0xWzV
